380F	U+37C6
3A5C	U+3A2B
42B7	U+4336
42D9	U+433A
42FB	U+433E
477C	U+478D
4BC0	U+4BC5
4C3E	U+9C83
4C7D	U+4C9D
4C81	U+9CDA
4E1F	U+4E22
4E26	U+5E76
4E7E	U+5E72
4E82	U+4E71
4E9E	U+4E9A
4F47	U+4F2B
4F59	U+9980
4F75	U+5E76
4F86	U+6765
4F96	U+4ED1
4FB6	U+4FA3
4FC1	U+4FE3
4FC2	U+7CFB
4FD4	U+4F23
4FE0	U+4FA0
5000	U+4F25
5006	U+4FE9
5008	U+4FEB
5009	U+4ED3
500B	U+4E2A
5011	U+4EEC
502B	U+4F26
5049	U+4F1F
5074	U+4FA7
5075	U+4FA6
507D	U+4F2A
5091	U+6770
5096	U+4F27
5098	U+4F1E
5099	U+5907
50AD	U+4F63
50AF	U+506C
50B3	U+4F20
50B4	U+4F1B
50B5	U+503A
50B7	U+4F24
50BE	U+503E
50C2	U+507B
50C5	U+4EC5
50C9	U+4F65
50D1	U+4FA8
50D5	U+4EC6
50DE	U+4F2A
50E5	U+4FA5
50E8	U+507E
50F9	U+4EF7
5100	U+4EEA
5102	U+4FAC
5104	U+4EBF
5108	U+4FA9
5109	U+4FED
5110	U+50A7
5114	U+4FE6
5115	U+4FAA
5118	U+5C3D
511F	U+507F
512A	U+4F18
5132	U+50A8
5137	U+4FEA
5138	U+3469
513A	U+50A9
513B	U+50A5
513C	U+4FE8
514C	U+5151
5152	U+513F
5157	U+5156
5167	U+5185
5169	U+4E24
518A	U+518C
51AA	U+5E42
51C8	U+51C0
51CD	U+51BB
51DC	U+51DB
51F1	U+51EF
5225	U+522B
522A	U+5220
5244	U+522D
5247	U+5219
524B	U+514B
524E	U+5239
5257	U+522C
525B	U+521A
525D	U+5265
526E	U+5250
5274	U+5240
5275	U+521B
5283	U+5212
5287	U+5267
5289	U+5218
528A	U+523D
528C	U+523F
528D	U+5251
528F	U+34E5
5291	U+5242
529A	U+3509
52C1	U+52B2
52D5	U+52A8
52D9	U+52A1
52DB	U+52CB
52DD	U+80DC
52DE	U+52B3
52E2	U+52BF
52E9	U+52DA
52F1	U+52A2
52F5	U+52B1
52F8	U+529D
52FB	U+5300
532D	U+5326
532F	U+6C47
5331	U+532E
5340	U+533A
5354	U+534F
537B	U+5374
5399	U+538D
53A0	U+5395
53AD	U+538C
53B2	U+5389
53B4	U+53A3
53C3	U+53C2
53C4	U+53C1
53E2	U+4E1B
53F0	U+53F0
540E	U+540E
5412	U+54A4
5433	U+5434
5436	U+5450
5442	U+5415
5446	U+7343
54BC	U+5459
54E1	U+5458
5504	U+5457
551A	U+5423
554F	U+95EE
5553	U+542F
555E	U+54D1
555F	U+542F
5562	U+5521
558E	U+359E
559A	U+5524
55AA	U+4E27
55AC	U+4E54
55AE	U+5355
55B2	U+54DF
55C6	U+545B
55C7	U+556C
55CA	U+551D
55CE	U+5417
55DA	U+545C
55E9	U+5522
55F6	U+54D4
5606	U+53F9
560D	U+55BD
5614	U+5455
5616	U+5567
5617	U+5C1D
561C	U+551B
5629	U+54D7
562E	U+5520
562F	U+5578
5630	U+53FD
5635	U+54D3
5638	U+5452
563D	U+5574
5653	U+5618
565A	U+358A
565D	U+549D
5660	U+54D2
5665	U+54DD
5666	U+54D5
566F	U+55F3
5672	U+54D9
5674	U+55B7
5678	U+5428
5679	U+5F53
5680	U+549B
5687	U+5413
568C	U+54DC
5695	U+565C
5699	U+556E
56A6	U+5456
56A8	U+5499
56B2	U+4EB8
56B3	U+55BE
56B4	U+4E25
56B6	U+5624
56C0	U+556D
56C1	U+55EB
56C2	U+56A3
56C5	U+5181
56C8	U+5453
56D1	U+5631
56EA	U+56F1
5707	U+56F5
570B	U+56FD
570D	U+56F4
5712	U+56ED
5713	U+5706
5716	U+56FE
5718	U+56E2
57B5	U+57EF
57E1	U+57AD
57F0	U+91C7
57F7	U+6267
5805	U+575A
580A	U+57A9
5816	U+57B4
581D	U+57DA
582F	U+5C27
5831	U+62A5
5834	U+573A
584A	U+5757
584B	U+8314
584F	U+57B2
5852	U+57D8
5857	U+6D82
5862	U+575E
5864	U+57D9
5875	U+5C18
5879	U+5811
588A	U+57AB
589C	U+5760
58AE	U+5815
58B3	U+575F
58BB	U+5899
58BE	U+57A6
58C7	U+575B
58C8	U+21484
58CB	U+57B1
58D3	U+538B
58D8	U+5792
58D9	U+5739
58DA	U+5786
58DE	U+574F
58DF	U+5784
58E0	U+5785
58E2	U+575C
58E9	U+575D
58EF	U+58EE
58FA	U+58F6
58FC	U+58F8
58FD	U+5BFF
5920	U+591F
5922	U+68A6
593E	U+5939
5950	U+5942
5967	U+5965
5969	U+5941
596A	U+593A
