3469	U+5138
34E5	U+528F
3509	U+529A
358A	U+565A
359E	U+558E
36DF	U+217B5
36E0	U+21883
36FF	U+21839
37C6	U+380F
39D1	U+649D
39DF	U+64D3
3A2B	U+3A5C
3C69	U+6BB0
3C6E	U+6BA8
3CBF	U+7007
3D89	U+9E02
3DB6	U+71F6
3DBD	U+7171
3E8D	U+7371
3ECF	U+24AE9
3ED8	U+24ABA
4056	U+779C
4149	U+7A0F
41F2	U+7B74
4336	U+42B7
4337	U+7D2C
4338	U+7E33
4339	U+7D45
433A	U+42D9
433C	U+7D90
433D	U+7DB5
433E	U+42FB
4340	U+7E7F
4341	U+7E78
44D5	U+85B3
45D6	U+87AE
461B	U+2775E
464A	U+27735
4653	U+896C
4723	U+8A22
4725	U+27A59
4727	U+8B45
4759	U+8C99
478C	U+27D73
478D	U+477C
4790	U+8CF0
4882	U+282E2
497F	U+28BC5
4980	U+289AB
4981	U+289DC
4A44	U+9766
4BC3	U+298D1
4BC4	U+9A27
4BC5	U+4BC0
4C9D	U+4C7D
4C9E	U+29D98
4D13	U+9CFE
4D14	U+9D41
4D15	U+9D37
4D16	U+9D84
4D17	U+9DAA
4D18	U+9DC8
4D19	U+9DFF
4E07	U+842C
4E0E	U+8207
4E11	U+919C
4E13	U+5C08
4E1A	U+696D
4E1B	U+53E2
4E1C	U+6771
4E1D	U+7D72
4E22	U+4E1F
4E24	U+5169
4E25	U+56B4
4E27	U+55AA
4E2A	U+500B
4E30	U+8C50
4E34	U+81E8
4E3A	U+70BA U+7232
4E3D	U+9E97
4E3E	U+8209
4E48	U+5E7A U+9EBC U+9EBD
4E49	U+7FA9
4E4C	U+70CF
4E50	U+6A02
4E54	U+55AC
4E60	U+7FD2
4E61	U+9109
4E66	U+66F8
4E70	U+8CB7
4E71	U+4E82
4E89	U+722D
4E8E	U+65BC
4E8F	U+8667
4E91	U+96F2
4E9A	U+4E9E
4EA7	U+7522 U+7523
4EA9	U+755D
4EB2	U+89AA
4EB5	U+893B
4EB8	U+56B2
4EBF	U+5104
4EC5	U+50C5
4EC6	U+50D5
4ECE	U+5F9E
4ED1	U+4F96
4ED3	U+5009
4EEA	U+5100
4EEC	U+5011
4EF7	U+50F9
4F17	U+773E U+8846
4F18	U+512A
4F1A	U+6703
4F1B	U+50B4
4F1E	U+5098
4F1F	U+5049
4F20	U+50B3
4F23	U+4FD4
4F24	U+50B7
4F25	U+5000
4F26	U+502B
4F27	U+5096
4F2A	U+507D U+50DE
4F2B	U+4F47
4F53	U+9AD4
4F59	U+9918
4F63	U+50AD
4F65	U+50C9
4FA0	U+4FE0
4FA3	U+4FB6
4FA5	U+50E5
4FA6	U+5075
4FA7	U+5074
4FA8	U+50D1
4FA9	U+5108
4FAA	U+5115
4FAC	U+5102
4FE3	U+4FC1
4FE6	U+5114
4FE8	U+513C
4FE9	U+5006
4FEA	U+5137
4FEB	U+5008
4FED	U+5109
503A	U+50B5
503E	U+50BE
506C	U+50AF
507B	U+50C2
507E	U+50E8
507F	U+511F
50A5	U+513B
50A7	U+5110
50A8	U+5132
50A9	U+513A
513F	U+5152
514B	U+524B
5151	U+514C
5156	U+5157
515A	U+9EE8
5170	U+862D
5173	U+95DC
5174	U+8208
5179	U+8332
517B	U+990A
517D	U+7378
5181	U+56C5
5185	U+5167
5188	U+5CA1
518C	U+518A
5199	U+5BEB
519B	U+8ECD
519C	U+8FB2
51AF	U+99AE
51B2	U+6C96 U+885D
51B3	U+6C7A
51B5	U+6CC1
51BB	U+51CD
51C0	U+51C8
51C6	U+6E96
51C9	U+6DBC
51CF	U+6E1B
51D1	U+6E4A
51DB	U+51DC
