3447	1506.160:zhòu
344C	0659.100:kuāng
3469	0750.060:luó
3473	1506.161:zhòu
3493	1107.091:tà
34E6	0019.070:bāi
3509	1512.080:zhǔ
351A	0576.140:jié
3551	0158.022:chú
355C	1044.030:shǐ
3560	1073.082:shuāng
3576	0811.021:ň 0826.021:ňg
358A	1315.030:xún
359E	1177.080:wāi
35C4	0653.080:kū
35CF	1177.070:wāi
35D1	0027.030:bai
3604	0687.080:lēng
3606	1110.022:tǎi
360E	0439.080:hǎn
3617	0943.020:qū
3625	1400.070:yóu
362D	0012.131:ào
3631	1112.061:tān
3635	0096.020:bù
3658	1339.050:yāo
365B	1518.013:zhuān
365F	0675.080:lǎng
3666	1275.040:xié
3681	0922.052:qiào
36A2	0840.080:nú
36BB	0520.120:jī
36C3	0576.050:jié
3743	0786.051:miǎn
3761	1548.030:zuì
377F	0085.010:bǒ
378E	0018.020:bǎ
3797	0941.040:qiú
3798	0265.090:dū
379E	1092.070*,1092.071:sóng
37C2	0806.030:mǔ
37D6	0733.080:lòng
37E4	0740.060:lù
37F7	0203.040:da
3804	1233.051:xí
382F	1364.030:yǐ
383E	1419.070:yuān
3851	0920.071:qiāo
3853	0663.201:kūn
3860	1478.011:zhèng
3861	0159.030:chú
3867	1478.010:zhèng
3905	0004.090:ài
3918	1506.150:zhòu
3925	0437.020:hài
394F	1138.100:tiǎn
3966	0924.052:qiè
396E	1506.151:zhòu
3975	0508.061:hùn
39C0	0527.020:jí
39CF	0360.060:gāng
39D0	1092.100:sǒng
39D1	0500.030,0500.031*:huī
39DF	0656.080:kuǎi
3A04	1505.010:zhōu
3A17	0580.031:jié
3A18	1292.011:xǐng
3A2A	0498.031:huàng
3A4B	1265.040*,1265.041:xiāo
3A50	0225.051:dèn
3A59	0981.091:sāi
3A5F	1450.060:zhài
3A73	1092.101:sǒng
3A8D	0083.011:bó
3ABA	0611.100:jū
3AF0	0676.060:làng
3B09	0842.073:nuǎn
3B0A	0491.070:huàn
3B0E	1249.010:xiǎn
3B1F	0322.060:fēn
3B24	0894.090:qī
3B4E	0360.050:gāng
3BA3	0352.071:gài
3BBE	0675.090:lǎng
3BED	0737.091:lǔ
3BF3	0935.041:qíng
3C0D	0732.052:lóng
3C43	1379.020:yǐn
3C84	0618.121:jué
3C93	0969.012:róng
3CB2	0251.180:dié
3CC2	1327.041:yán 1333.051:yàn
3CC7	0342.010:fù
3CE0	1107.060:tà
3D29	1391.140:yōng
3D50	0618.140:jué
3D72	1220.022:wǔ
3D81	0426.070:guó
3D89	1229.070:xī
3D91	0705.051:liàn
3D9F	0686.060:lěi
3DDF	1169.011:tuì
3E4E	0685.110:léi
3E62	0541.120:jiā
3E6D	1371.120:yì
3E80	0472.040:hū
3E84	1413.120:yǔ
3E85	0467.020:hóu
3EA2	0515.040:huò
3EEB	0059.051:bì
3F08	0749.020*,0749.021:luó
3F41	0697.062:lì
3F4F	0359.060:gàn
3F58	0362.030:gǎng
3FB9	0116.021:chái
4007	0397.070:gǔ
4009	0921.061:qiáo
400C	1236.060:xì
4026	0397.020:gǔ
4039	0998.070:shǎn
4056	0733.100:lōu
40AB	0442.011:hāng
40C5	0229.040:dī
40C9	0792.012:mín
40CE	1448.180:zhà
40D8	0645.092:kēng
40E0	1307.071:xuàn
40F0	0098.010:cā
410D	1448.191:zhà
413B	1122.020:táo
415F	0104.050:cǎn
41ED	0682.020:lǎo
41F2	0110.010:cè 0540.010:jiā
41FD	1464.040:zhé
420E	1348.063:yè
426C	0317.010*,0317.011:fèi
4272	0781.061:mí
4275	1521.011:zhuàn 1547.031:zuǎn
42AA	0697.152:lì
42CE	1454.020:zhàn
4308	1106.090:tā
4325	1382.040:yǐn
4337	0152.010:chōu 0153.061:chóu
4339	0604.150:jiǒng
4349	1450.040:zhǎi
4361	0738.040:lù
43B1	0019.021:bà
43DD	1518.020:zhuān
43FF	0899.020:qǐ
441B	0189.020:dā
4472	1460.062:zhào
447D	1107.150:tà
44A3	0955.021:rǎn
44B7	0402.100:guā
44BF	0710.090:liáo
44D6	0938.010:qióng
44E8	1385.030:yīng
451B	0936.042:qǐng
456D	0914.042:qián
4577	0780.080:mí
458F	0160.102:chǔ 0161.112:chù
45AE	1259.020:xiǎng
45B3	1448.140:zhà
45D6	0239.030:dì
45DB	1297.020:xiū
45EA	1465.030:zhè
45FB	0580.010*,0580.011:jié
460C	0829.021:nì
4615	0442.060:háng
462E	0987.012:sāng 0987.072:sàng
464C	0663.120:kuì
473A	0116.060:chǎi
474B	1541.040:zòng
475F	1321.071:yà
478D	0935.020:qíng
4793	0134.071:chēng
47E1	1482.090:zhī
4800	1117.061:tāng
480A	0316.081:fèi
4831	1509.021:zhú
48BA	0158.010:chū
490C	0917.010*,0917.011:qiāng
4928	0870.101:pì
493C	1251.040:xiàn
4947	1000.072:shàn
4955	0876.030*:piě
495B	0576.020:jiē
497D	0884.090:pō
4983	1527.020:zhuō
4986	0618.220:jué
49B6	1478.030:zhèng
49B7	0162.110:chuài
49E1	1391.021:yōng
4A26	0853.111:pāng
4A44	0785.070:miǎn 1138.130:tiǎn
4A6C	0053.071:běng
4A7A	1208.050:wēng
4A8D	0672.051:lán
4AC8	0133.033:chěn
4ACF	0892.020*:qī
4B54	0273.020*:duī
4BC4	0402.080:guā
4BE7	0936.061:qǐng
4BFC	0231.080:dí
4C00	1209.060:wǒ
4C16	1547.051:zuǎn
4C1B	0697.061:lì
4C57	0102.030*:cān
4C5A	0740.080*:lù
4C5B	0515.110*:huò
4C68	0669.060*:là
4C75	1208.080*:wēng
4C77	1410.011:yú
4C7B	0483.010*:huá
4C97	1248.040*:xián
4C9F	1383.020:yìn
4CA0	0170.040:chūn
4CA2	1125.110:téng
4CCD	0382.050*:gōng
4CD8	0283.012:é
4D13	1033.010:shī
4D14	0565.040:jiāo
4D15	0714.040:liè
4D16	0597.040:jīng
4D17	0611.150:jú
4D19	0871.010:pì
4D1A	0362.020*,0362.021:gǎng
4D25	0541.030:jiā
4D38	0333.051:fū
4D5A	1123.010:tǎo
4D8A	0842.051:nǜ
4D95	0019.040*:bà
4D97	0642.021*:kè 0906.100*:qiā
4DA7	1342.111:yǎo
4DAE	1329.060:yǎn
4E00	1351.020:yī 1360.040:yí 1368.160:yì
4E01	0252.010:dīng 1472.010:zhēng
4E03	0893.050:qī 0897.070:qí
4E07	0802.110:mò 1185.040:wàn
4E08	1457.020:zhàng
4E09	0982.010:sān
4E0A	1002.050:shǎng 1002.100:shàng
4E0B	1239.090:xià
4E0D	0085.150:bú 0087.100:bù
4E0E	1407.050:yú 1413.010:yǔ 1415.110:yù
4E0F	0785.020:miǎn
4E10	0352.020:gài
4E11	0153.090:chǒu
4E13	1517.020:zhuān
4E14	0609.090:jū 0923.080:qiě
4E15	0865.010:pī
4E16	1050.060:shì
4E18	0939.070:qiū
4E19	0078.020:bǐng
4E1A	1348.070:yè
4E1B	0179.010:cóng
4E1C	0257.020:dōng
4E1D	1086.020:sī
4E1E	0140.010:chéng
4E1F	0256.091:diū
4E22	0256.090:diū
4E24	0707.060:liǎng
4E25	1326.010:yán
4E26	0079.012:bìng
4E27	0987.010:sāng 0987.070:sàng
4E2A	0373.090:gè 0373.120:gě
4E2B	1317.010:yā
4E2D	1494.100:zhōng 1501.040:zhòng
4E30	0324.080:fēng
4E31	0411.050:guàn
4E32	0166.030:chuàn
4E34	0717.030:lín
4E38	1183.040:wán
4E39	0210.010:dān
4E3A	1192.070:wéi 1199.040:wèi
4E3B	1510.020:zhǔ
4E3D	0691.110:lí 0697.030:lì
4E3E	0612.050:jǔ
4E42	1369.120:yì
4E43	0814.030:nǎi
4E45	0606.040:jiǔ
4E47	1172.030:tuō
4E48	0758.081,0758.091:ma 0770.150:me 1340.041:yāo
4E49	1369.130:yì
4E4B	1478.080:zhī
4E4C	1211.030:wū 1225.010:wù
4E4D	1448.200:zhà
4E4E	0470.080:hū
4E4F	0295.030:fá
4E50	0683.040:lè 1430.060:yuè
4E52	0878.060:pīng
4E53	0853.120:pāng
4E54	0920.130:qiáo
4E56	0405.010:guāi
4E58	0139.010:chéng 1030.020:shèng
4E59	1364.090:yǐ
4E5C	0789.030:miē 0835.080:niè
4E5D	0606.020:jiǔ
4E5E	0899.060:qǐ
4E5F	1347.010:yě
4E60	1233.030:xí
4E61	1257.010:xiāng
4E66	1064.070:shū
4E69	0520.100:jī
4E70	0759.020:mǎi
4E71	0744.120:luàn
4E73	0973.070:rǔ
4E78	0812.010:nǎ
4E7E	0352.091:gān 0913.050:qián
4E82	0744.121:luàn
4E86	0684.060:le 0711.150:liǎo 0712.070:liào
4E88	1411.010:yú 1413.140:yǔ
4E89	1472.030:zhēng
4E8B	1051.040:shì
4E8C	0288.070:èr
4E8D	0161.060:chù
4E8E	1406.080:yú
4E8F	0661.120:kuī
4E91	1431.040:yún
4E92	0477.110:hù
4E93	0895.050:qí
4E94	1220.070:wǔ
4E95	0600.010:jǐng
4E98	0377.030:gèn
4E99	0377.031:gèn
4E9A	1321.020:yà
4E9B	1273.040:xiē
4E9E	1321.021:yà
4E9F	0530.020:jí 0906.060:qì
