3588	U+439B
363D	U+39B3
39B3	U+363D
418B	U+9F9D
439B	U+3588
4E04	U+4E0A
4E05	U+4E0B
4E0A	U+4E04
4E0B	U+4E05
4E0C	U+5176
4E0D	U+F967
4E16	U+4E17
4E17	U+4E16
4E18	U+4E20
4E21	U+5169
4E23	U+9149
4E26	U+5E77
4E2C	U+723F
4E31	U+535D
4E32	U+F905
4E39	U+F95E
4E3A	U+70BA
4E43	U+5EFC
4E45	U+4E46
4E46	U+4E45
4E47	U+8650
4E55	U+864E
4E57	U+4E58
4E58	U+4E57
4E69	U+7A3D
4E80	U+9F9C
4E81	U+4E7E
4E86	U+F9BA
4E88	U+8C6B
4E8A	U+4E8B
4E8B	U+4E8A
4E8C	U+8D30
4E8E	U+6275
4E93	U+5176
4E94	U+4F0D
4E97	U+6B72
4E98	U+4E99
4E9C	U+4E9E
4E9D	U+9F4A
4E9E	U+4E9C
4EA1	U+4EBE
4EA7	U+7522
4EAC	U+4EB0
4EAE	U+F977
4EAF	U+4EAB
4EB0	U+4EAC
4EB1	U+591C
4EB7	U+5EC9
4EC0	U+F9FD
4EC1	U+5FC8
4EC2	U+50CD
4EC3	U+505C
4EC7	U+8B90
4ECF	U+4F5B
4ED9	U+50CA
4EDD	U+540C
4EDE	U+4EED
4EDF	U+5343
4EE4	U+F9A8
4EED	U+4EDE
4EEE	U+5047
4EFB	U+4EFC:kHKGlyph
4EFC	U+4EFB:kHKGlyph
4EFD	U+5F6C
4EFF	U+5023
4F0D	U+4E94
4F19	U+5925
4F1C	U+5005
4F1D	U+50B3
4F29	U+4FE1
4F2A	U+507D
4F32	U+4F60
4F48	U+5E03
4F54	U+5360
4F5B	U+4ECF
4F5E	U+4FAB
4F60	U+59B3
4F70	U+767E
4F75	U+5002
4F84	U+59EA
4F86	U+F92D
4F89	U+8A87
4FA1	U+50F9
4FAB	U+4F5E
4FAD	U+5118
4FBF	U+F965
4FCA	U+5101
4FCE	U+723C
4FDE	U+516A
4FDF	U+7AE2
4FE1	U+4F29
4FE5	U+4F21
4FF1	U+5036
4FF2	U+6548
4FFB	U+5099
5002	U+4F75
5005	U+4F1C
5016	U+5E78
501F	U+85C9
5023	U+4EFF
5024	U+503C
502B	U+F9D4
5036	U+4FF1
5039	U+5109
503C	U+5024
5047	U+4EEE
505C	U+4EC3
5077	U+5078
5078	U+5077
5079	U+5099
50A2	U+5BB6
50A4	U+510E
50CA	U+4ED9
50CD	U+4EC2
50CF	U+8C61
50DA	U+F9BB
50DE	U+507D
50E3	U+50ED
50E5	U+5FBA
50ED	U+50E3
5101	U+4FCA
510C	U+50E5
510E	U+50A4
5140	U+FA0C
5147	U+51F6
5149	U+706E
514E	U+5154
5150	U+5152
5154	U+514E
5166	U+4EA1
5169	U+4E21
516D	U+F9D1
5176	U+4E0C
517F	U+85DD
5186	U+5713
5190	U+5192
5191	U+80C4
5197	U+5B82
519D	U+5B9C
51A2	U+585A
51A4	U+5BC3
51A6	U+5BC7
51A8	U+5BCC
51AA	U+7F83
51AC	U+9F15
51B0	U+6C37
51B1	U+6C8D
51B2	U+6C96
51B7	U+F92E
51BD	U+6D0C
51C0	U+6DE8
51C3	U+5857
51C4	U+6DD2
51C5	U+6DB8
51CB	U+96D5
51CC	U+F955
51D6	U+6E96
51E1	U+51E2
51E2	U+51E1
51E3	U+51E1
51E6	U+8655
51E8	U+98A8
51F4	U+6191
51F6	U+5147
51F7	U+584A
51FA	U+5C80
51FC	U+5E7D
51FD	U+51FE
51FE	U+51FD
5200	U+5202
5202	U+5200
5203	U+5204
5204	U+5203
5207	U+FA00
5208	U+82C5
520A	U+520B
520B	U+520A
5214	U+6289
5217	U+F99C
5226	U+52AB
5229	U+F9DD
5231	U+524F
5234	U+5241
523A	U+523E
523C	U+52AB
523E	U+523A
5241	U+5234
524F	U+5231
5259	U+5275
5263	U+528D
5264	U+5291
5269	U+5270
5270	U+5269
5271	U+528D
5273	U+7B9A
5275	U+5259
5277	U+93DF
527F	U+52E6
5286	U+942E
5291	U+5264
5294	U+528D
529B	U+F98A
52A2	U+52F5
52A3	U+F99D
52AB	U+5226
52B4	U+52DE
52B5	U+5238
52B9	U+6548
52C3	U+8274
52D2	U+F952
52DB	U+52F2
52DE	U+F92F
52E4	U+61C3
52E6	U+527F
52E7	U+52F8
52F2	U+52DB
52F3	U+52DB
52F5	U+52A2
52F8	U+52E7
52FE	U+53E5
5317	U+F963
5333	U+5969
5339	U+758B
533F	U+F9EB
5341	U+F973
5343	U+4EDF
5344	U+5EFF
5346	U+5352
5347	U+6607
534B	U+4E16
534D	U+5350
5350	U+534D
5352	U+5346
5354	U+604A
5358	U+55AE
535A	U+613D
5360	U+4F54
5369	U+90E8
536E	U+5DF5
536F	U+623C
5373	U+537D
5375	U+F91C
5377	U+6372
5378	U+7F37
5379	U+6064
537D	U+5373
5384	U+9628
5386	U+6B77
5390	U+9F90
5395	U+5EC1
5396	U+9F90
539B	U+5EF3
53A0	U+5EC1
53B0	U+5EE0
53B3	U+56B4
53B5	U+6E90
53B6	U+79C1
53C1	U+53C3
53C3	U+F96B
53C4	U+53C3
53C6	U+9749
53C7	U+9746
53CE	U+6536
53D1	U+767C
53DC	U+53DF
53DD	U+544A
53DF	U+53DC
53E1	U+777F
53E5	U+F906
53EA	U+6B62
5401	U+7C72
5403	U+55AB
5408	U+95A4
540C	U+4EDD
540F	U+F9DE
5411	U+56AE
541D	U+F9ED
541E	U+5451
542F	U+5553
5433	U+5449
