"English","English_Abbr","HK Chinese"
"2D-3D real time conversion","","二維／三維實時轉換"
"3D digital map","","三維數碼地圖"
"3G video communications","","3G 視像通訊"
"3G visual call technology","","3G 視像電話技術"
"4K live streaming technology","","4K 實時串流技術"
"abstraction","","抽象層"
"Academy of Sciences of Hong Kong","","港科院"
"accelerator programme","","加速器計劃"
"acceptance test","","驗收測試"
"access audit system","","存取審計系統"
"access control","","存取控制"
"access control field","","存取控制字段"
"access path","","接達路徑"
"activity network","","活動網絡"
"actual transfer rate","","實際傳送率"
"adapter","","適配器"
"address spoofing","","位址仿冒"
"administrative system","","行政系統"
"advanced encryption standard","AES","高級加密標準"
"Advanced Manufacturing Centre","","先進製造業中心"
"advanced persistent threats","APT","進階持續性滲透攻擊"
"Advisory Committee on Code of Practice for Recognized Certification Authorities","","認可核證機關業務守則諮詢委員會"
"adware","","廣告軟件"
"after-image","","餘像"
"Algorithm","","算法"
"alpha test","","第一階段測試"
"alphanumeric field","","文數字字段"
"American Standard Code for Information Interchange","ASCII","美國信息交換標準碼"
"analogue","","模擬"
"analogue computer","","模擬電腦"
"analogue signal","","模擬信號"
"anti-malware software","","抗惡意程式軟件"
"anti-virus software","","抗電腦病毒軟件"
"applet","","微應用程式"
"application architecture","","應用架構"
"application development","","應用系統發展"
"application development standard","","應用系統發展標準"
"application development tool","ADT","應用系統發展工具"
"application naming standard","","應用系統命名標準"
"application operation manual","","應用系統操作手冊"
"application program","","應用系統程式"
"application program interface","API","應用程式界面"
"application service provider","ASP","應用服務供應商"
"application software","","應用軟件"
"application specification","","應用系統規格"
"application system","","應用系統"
"application user manual","","應用系統用戶手冊"
"architectural artifacts","","架構製品"
"architectural semantics","","結構語意"
"architecture repository","","架構儲存庫"
"archive","","存檔"
"artificial intelligence","","人工智能"
"artificial language","","人工語言"
"assembly language","","匯編語言"
"asymmetric cryptosystem","","非對稱密碼系統"
"asynchronous communication","","異步通訊"
"asynchronous transmission mode","ATM","異步傳輸形式"
"attachment unit interface","","附加裝置界面"
"attribute","","屬性"
"Audio Video Interleave","AVI","音頻視頻交織格式"
"audit trail","","審計追蹤"
"augmented reality","AR","擴增實境"
"authenticity","","真確性"
"authoring software","","編寫軟件"
"automated operation","","自動化操作"
"automatic calling","","自動呼叫"
"automatic tape library","","自動化磁帶庫"
"autonomous vehicle","","自動駕駛車輛"
"Availability","","可用性"
"availability management","","可用性管理"
"backbone network","","主幹網絡"
"background","","後台"
"backup","","備份"
"backup equipment","","備份設備"
"backward channel","","反向通道"
"backward compatibility","","反向兼容性"
"bandwidth","","帶寬"
"bar code","","條碼"
"bar code reader","","條碼閱讀機"
"baseband","","基帶"
"baseband local area network","","基帶局部區域網絡"
"basic input/output system","BIOS","基本輸入輸出系統"
"batch job","","成批工件"
"batch processing","","成批工件處理"
"batch service","","成批工件服務"
"baud","","波特"
"baud rate","","波特率"
"before-image","","前像"
"beta test","","第二階段測試"
"Big-5","","大五碼"
"big data","","大數據"
"Big Data Analytics Platform","","大數據分析平台"
"bilingual processing","","雙語處理"
"binary character","","二進制字符"
"binary digit","","二進制數字"
"binary signal","","雙態信號"
"binary tree","","二叉樹"
"biometrics","","生物特徵"
"biometric authentication","","生物識別"
"biotechnological research","","生物科技研究"
"bit","","[二進制]數元"
"bit error rate","","數元誤差率"
"bit rate","","數元率"
"bitcoin","","比特幣"
"block check","","塊核對"
"block diagram","","框圖"
"blockchain","","區塊鏈"
"blog","","網誌"
"blogger","","網誌作者"
"bluetooth","","藍牙"
"bluetooth beacon","","藍牙傳送器"
"board game","","圖版遊戲"
"boot","","引導程序"
"botnet","","殭屍網絡"
"Bridge","","橋路"
"Bring Your Own Device","BYOD","自攜設備"
"broadband","","寬帶"
"broadband wireless access","BWA","寛頻無線接達"
"browser","","瀏覽器"
"brute force attack","","暴力攻擊"
"buffer-overflow attack","","緩衝區滿溢攻擊"
"Building Information Modelling [BIM] Technology","","建築信息模擬技術"
"bulletin board","","電子布告板"
"bus","","匯流排"
"bus network","","匯流排網絡"
"business architecture","","業務架構"
"business continuity management","","業務持續運作管理"
"business continuity plan","BCP","業務持續運作計劃"
"business entry portal","BEP","營商網"
"business intelligence","","商業智能"
"business plan","","業務計劃"
"business process modeling","","建立商務流程模型"
"business process re-engineering","BPR","業務程序重組"
"business relationship management","","業務關係管理"
"business-to-business","B2B","企業對企業"
"business-to-consumer","B2C","企業對顧客"
"byte","","字節"
"cabling installation service","","導線安裝服務"
"cabling system","","導線系統"
"cache memory","","快取記憶體"
"call control procedure","","調用控制程序"
"capability maturity model","CMM","能力成熟程度模型"
"capacity management","","容量管理"
"capacity planning","","容量規劃"
"card face data","","卡面資料"
"cardinality","","基數"
"carrier","","載體"
"cartridge tape","","盒式磁帶"
"cascading style sheet","CSS","層疊樣式表 - (CSS)"
"central bureau","","中央電腦服務中心"
"central cloud platform","","中央雲端平台"
"central digital platform","","中央數碼平台"
"central gateway","","中央通訊閘"
"central hosting infrastructure","","中央系統託管基建設施"
"central processing unit","CPU","中央處理器"
"central processor","","中央處理器"
"centralised model","","中央管理模式"
"Certificate of Cloud Security Knowledge","CCSK","雲端安全知識認證"
"Certified Cloud Security Professional","CCSP","註冊雲安全專家認證"
"certificate policy","","證書政策"
"certificate profile","","證書結構"
"certificate revocation list","","證書撤銷清單"
"certification authority","CA","核證機關"
"certification authority disclosure record","","核證機關披露紀錄"
"Certification Authority Recognition Office","CARO","核證機關認可辦事處"
"certification practice statement","","核證作業準則"
"change management","","變更管理"
"change-over system","","轉換系統"
"channel capacity","","通道容量"
"character","","字符"
"character reader","","字符閱讀器"
"character set","","字符集"
"chatbot","","聊天機械人"
"chinese hand writing input device","","中文手寫輸入器"
"Chinese Internal Code Specification","","漢字內碼擴展規範"
"Chinese-Japanese-Korean Unified Ideographs Characters","CJK","中日韓文統一表意字符集"
"Chinese Language Interface Advisory Committee","","中文界面諮詢委員會"
"chip","","晶片"
"circuit switch","","電路交接"
"client/server system","","客戶/伺服系統"
"cloud computing","","雲端運算"
"cloud migration","","雲端服務遷移"
"cloud pyramid","","雲端運算金字塔"
"cloud readiness","","雲就緒指數"
"cloud security risk management","","雲端保安風險管理"
"cloud storage","","雲端儲存服務"
"coaxial cable","","同軸電纜"
"code injection","","代碼插入"
"code list","","代碼表"
"Code of Practice for Recognized Certification Authorities","","《認可核證機關業務守則》"
"code scanning","","編碼掃描"
"coding","","編碼"
"coding scheme","","編碼方案"
"cold start","","冷啟動"
"collaboration tool","","協作工具"
"Commission on Innovation and Technology","CIT","創新科技委員會"
"common authentication","","共用認證"
"common gateway interface","CGI","共用網間連接界面"
"common look and feel","CLF","統一的「外觀與風格」"
"common QR code standard","","共同的二維碼標準"
"common SMS gateway","","共用短訊服務通訊閘"
"Common Spatial Data Infrastructure","CSDI","空間數據共享平台"
"Common Vulnerability and Exposures","CVE","通用保安漏洞"
"communal access points","","公眾上網點"
"communication","","通訊"
"communication processor","","通訊處理器"
"community cloud","","社群雲端平台；社群雲"
"Community of Practice","CoP","實踐社群"
"compact disc read-only memory","CD-ROM","唯讀光碟"
"compact disc recordable drive","CD recordable drive","可記錄光碟機"
"compact disc rewritable drive","CD rewritable drive","復寫光碟機"
"compatibility","","兼容性"
"component object model","COM","組件對象模型"
"computational thinking","","運算思維"
"computer","","電腦"
"computer application","","電腦應用系統"
"computer architecture","","電腦體系結構"
"computer bureau","","電腦服務中心"
"computer centre","","電腦中心"
"Computer Emergency Response Team","","電腦緊急事故應變小組"
"computer equipment operation","","電腦設備操作"
"computer graphics","","電腦圖形"
"computer installation [the service]","","安裝電腦 [服務]"
"computer network","","電腦網絡"
"computer operating procedures manual","","電腦操作程序手冊"
"computer operator","","電腦操作員"
"computer output microfiche","","電腦輸出縮微膠片"
"computer output microfilm","","電腦輸出縮微膠卷"
"computer output microform","","電腦輸出縮微方式"
"computer program","","電腦程式"
"computer project","","電腦計劃"
"computer readable medium","","電腦可讀媒體"
"computer service level requirement","","電腦服務水平要求"
"computer site preparation","","電腦場地準備工作"
"computer system","","電腦系統"
"computer terminal","","電腦終端機"
"computer virus","","電腦病毒"
"computer-aided design","CAD","電腦輔助設計"
"computer-aided education","CAE","電腦輔助教育"
"computer-aided manufacturing","CAM","電腦輔助製造"
"computer-aided publishing","","電腦輔助出版"
"computer-assisted publishing","","電腦輔助出版"
"computer-assisted software engineering (CASE) tool","CASE tool","電腦輔助軟件工程工具"
"computer-assisted typesetting","","電腦輔助排字"
"computer-based training","CBT","電腦輔助訓練"
"computerisation","","電腦化"
"computerisation requirement","","電腦化需求"
"computerisation strategy","","電腦化策略"
"conceptual data model","","概念數據模型"
"conceptual infrastructure","","概念基本建設"
"conceptual level","","概念級"
"conceptual model","","概念模型"
"conceptual schema","","概念模式"
"conceptual system design","","概念系統設計"
"concurrency","","並行性"
"Conficker","","飛客"
"confidentiality","","機密性"
"configuration","","配置"
"configuration control board","","配置控制板"
"configuration managemen","","組態管理"
"connectivity","","連通性"
"consolidated server centres","","綜合伺服器中心"
"consultancy service","","顧問服務"
"content metamodel","","內容元模型"
"content delivery network","","內容分發網絡"
"content management system","CMS","內容管理系統"
"context diagram","","總結構圖"
"control checkpoint","","控制檢察點"
"Control Objectives for Information and related Technology","COBIT","信息及相關技術控制目標"
"control station","","控制站"
"controlled vocabulary","","控制詞彙"
"conversion","","轉換"
"cookie","","小型文字檔案"
"cooling efficiency","","冷卻效能"
"corporate data model","","機構數據模型"
"cost benefit analysis","CBA","成本效益分析"
"country code top-level domain","ccTLD","地區頂級域名"
"critical application system","","關鍵應用系統"
"Critical Infrastructure Security Coordination Centre","","重要基礎設施保安協調中心"
"critical Internet infrastructure","","互聯網關鍵基礎設施"
"cross certification","","互相核證"
"cross recognition","","互認安排"
"cross site scripting","","跨網址程式編程"
"crowd management system","","人流管理系統"
"crowdsourcing","","眾包"
"cryptocurrency","","加密貨幣"
"cryptographic algorithm","","加密算法"
"cryptographic keys","","密碼匙"
"cryptography","","密碼學"
"cryptographic protocol","","加密規約"
"current environment description","","現時環境描述"
"current pointer","","當前指針"
"current system description","","現行系統描述"
"custom-made software","","特製軟件"
"customer relationship management","CRM","客戶關係管理"
"cutover","","接入"
"Cyber Observable eXpression","","網絡可觀察表達式"
"cyber identities","","網上身分"
"cyber security","","網絡安全"
"cyber security drill","","網絡安全演習"
"cyber space","","電腦網絡世界"
"cyber threat information","","網絡威脅訊息"
"cyber threat intelligence","","網絡威脅情報"
"cyber-bullying","","網上欺凌"
"cybercrime-as-a-service","","網絡犯罪包辦服務"
"Cyberport","","數碼港"
"cycle","","周期"
"Cyclic Redundancy Code","CRC","循環冗餘碼"
"dark web","","暗網"
"data","","數據"
"data administration","","數據管理"
"data analysis","","數據分析"
"data analytics","","數據分析"
"data architecture","","資料架構"
"data bank","","數據庫"
"data capture","","數據收集"
"data cartridge","","數據磁帶盒"
"data catalogue","","數據目錄"
"data centre consolidation","","數據中心合併"
"data circuit","","數據電路"
"data communication equipment","DCE","數據通訊設備"
"data communication network","","數據通訊網絡"
"data concentrator","","數據集中器"
"data conversion","","數據轉換"
"data definition language","DDL","數據定義語言"
"data description","","數據描述"
"data dictionary","","數據字典"
"data element","","數據元"
"data encryption standard","DES","數據加密標準"
